Age,Fare,Pclass,Embarked,Male,Parch,SibSp,Survived
36,12.875,2,C,1,0,0,0
24,8.85,3,S,0,0,0,0
24,7.8958,3,S,1,0,0,0
,27.7208,1,C,1,0,0,0
23.5,7.2292,3,C,1,0,0,0
2,151.55,1,S,0,2,1,0
,30.5,1,S,1,0,0,1
50,247.5208,1,C,0,1,0,1
,7.75,3,Q,0,0,0,1
,23.25,3,Q,1,0,2,1
19,0,3,S,1,0,0,0
,12.35,2,Q,0,0,0,1
,8.05,3,S,1,0,0,0
0.92,151.55,1,S,1,2,1,1
,110.8833,1,C,0,0,0,1
17,108.9,1,C,0,0,1,1
30,24,2,C,1,0,1,0
30,56.9292,1,C,0,0,0,1
24,83.1583,1,C,0,0,0,1
18,262.375,1,C,0,2,2,1
26,26,2,S,0,1,1,0
28,7.8958,3,S,1,0,0,0
43,26.25,2,S,1,1,1,0
26,7.8542,3,S,0,0,0,1
24,26,2,S,0,0,1,1
54,14,2,S,1,0,0,0
31,164.8667,1,S,0,2,0,1
40,134.5,1,C,0,1,1,1
22,7.25,3,S,1,0,0,0
27,7.8958,3,S,1,0,0,0
30,12.35,2,Q,0,0,0,1
22,29,2,S,0,1,1,1
,69.55,3,S,1,2,8,0
36,135.6333,1,C,0,0,0,1
61,6.2375,3,S,1,0,0,0
36,13,2,S,0,0,0,1
31,20.525,3,S,0,1,1,1
16,57.9792,1,C,0,1,0,1
,23.25,3,Q,0,0,2,1
45.5,28.5,1,S,1,0,0,0
38,153.4625,1,S,1,1,0,0
16,18,3,S,1,0,2,0
,133.65,1,S,0,0,1,1
,7.8958,3,S,1,0,0,0
29,66.6,1,S,1,0,1,0
41,134.5,1,C,0,0,0,1
45,8.05,3,S,1,0,0,1
45,35.5,1,S,1,0,0,0
2,26,2,S,1,1,1,1
24,263,1,S,0,2,3,1
28,13,2,S,1,0,0,0
25,13,2,S,1,0,0,0
36,13,2,S,1,0,0,0
24,13,2,S,0,0,0,1
40,13,2,S,0,0,0,1
,16.1,3,S,0,0,1,1
3,15.9,3,S,1,1,1,1
42,8.6625,3,S,1,0,0,0
23,9.225,3,S,1,0,0,0
,35,1,S,1,0,0,0
15,7.2292,3,C,1,1,1,0
25,17.8,3,S,1,0,1,0
,7.225,3,C,1,0,0,0
28,9.5,3,S,1,0,0,0
22,55,1,S,0,1,0,1
38,13,2,S,0,0,0,0
,7.8792,3,Q,0,0,0,1
,7.8792,3,Q,0,0,0,1
40,27.9,3,S,1,4,1,0
29,27.7208,2,C,1,0,1,0
45,14.4542,3,C,0,1,0,0
35,7.05,3,S,1,0,0,0
,15.5,3,Q,1,0,1,0
30,7.25,3,S,1,0,0,0
60,75.25,1,C,0,0,1,1
,7.2292,3,C,0,0,0,1
,7.75,3,Q,0,0,0,1
24,69.3,1,C,0,0,0,1
25,55.4417,1,C,1,0,1,1
18,6.4958,3,S,1,0,1,0
19,8.05,3,S,1,0,0,0
22,135.6333,1,C,1,0,0,0
3,21.075,3,S,0,1,3,0
,82.1708,1,C,0,0,1,1
22,7.25,3,S,0,0,0,1
27,211.5,1,C,1,2,0,0
20,4.0125,3,C,1,0,0,0
19,7.775,3,S,1,0,0,0
42,227.525,1,C,0,0,0,1
1,15.7417,3,C,0,2,0,1
32,7.925,3,S,1,0,0,0
35,52,1,S,0,0,1,1
,7.8958,3,S,1,0,0,0
18,73.5,2,S,1,0,0,0
1,46.9,3,S,1,2,5,0
36,13,2,S,0,0,0,1
,7.7292,3,Q,1,0,0,0
17,12,2,C,0,0,0,1
36,120,1,S,1,2,1,1
21,7.7958,3,S,1,0,0,1
28,7.925,3,S,1,0,2,0
23,113.275,1,C,0,0,1,1
24,16.7,3,S,0,2,0,1
22,7.7958,3,S,1,0,0,0
31,7.8542,3,S,0,0,0,0
46,26,2,S,1,0,0,0
23,10.5,2,S,1,0,0,0
28,12.65,2,S,0,0,0,1
39,7.925,3,S,1,0,0,1
26,8.05,3,S,1,0,0,0
21,9.825,3,S,0,0,1,0
28,15.85,3,S,1,0,1,0
20,8.6625,3,S,0,0,0,0
34,21,2,S,1,0,1,0
51,7.75,3,S,1,0,0,0
3,18.75,2,S,1,1,1,1
21,7.775,3,S,1,0,0,0
,25.4667,3,S,0,1,3,0
,7.8958,3,S,1,0,0,0
,6.8583,3,Q,1,0,0,0
33,90,1,Q,0,0,1,1
,0,2,S,1,0,0,0
44,7.925,3,S,1,0,0,1
,8.05,3,S,0,0,0,0
34,32.5,2,S,0,1,1,1
18,13,2,S,0,2,0,1
30,13,2,S,1,0,0,0
10,24.15,3,S,0,2,0,0
,7.8958,3,C,1,0,0,0
21,7.7333,3,Q,1,0,0,0
29,7.875,3,S,1,0,0,0
28,14.4,3,S,0,1,1,0
18,20.2125,3,S,1,1,1,0
,7.25,3,S,1,0,0,0
28,26,2,S,0,0,1,1
19,26,2,S,0,0,0,1
,7.75,3,Q,1,0,0,0
32,8.05,3,S,1,0,0,1
28,26.55,1,S,1,0,0,1
,16.1,3,S,0,0,1,1
42,26,2,S,0,0,1,1
17,7.125,3,S,1,0,0,0
50,55.9,1,S,1,0,1,0
14,120,1,S,0,2,1,1
21,34.375,3,S,0,2,2,0
24,18.75,2,S,0,3,2,1
64,263,1,S,1,4,1,0
31,10.5,2,S,1,0,0,0
45,26.25,2,S,0,1,1,1
20,9.5,3,S,1,0,0,0
25,7.775,3,S,1,0,1,0
28,13,2,S,0,0,0,1
,8.1125,3,S,1,0,0,1
4,81.8583,1,S,1,2,0,1
13,19.5,2,S,0,1,0,1
34,26.55,1,S,1,0,0,1
5,19.2583,3,C,0,1,2,1
52,30.5,1,S,1,0,0,1
36,27.75,2,S,1,2,1,0
,19.9667,3,S,1,0,1,0
30,27.75,1,C,1,0,0,0
49,89.1042,1,C,1,0,1,1
,8.05,3,S,1,0,0,0
29,7.8958,3,C,1,0,0,1
65,26.55,1,S,1,0,0,0
,51.8625,1,S,0,0,1,1
50,10.5,2,S,0,0,0,1
,7.75,3,Q,1,0,0,0
48,26.55,1,S,1,0,0,1
34,8.05,3,S,1,0,0,0
47,38.5,1,S,1,0,0,0
48,13,2,S,1,0,0,0
,8.05,3,S,1,0,0,0
38,7.05,3,S,1,0,0,0
,0,2,S,1,0,0,0
56,26.55,1,S,1,0,0,0
,7.725,3,Q,1,0,0,0
0.75,19.2583,3,C,0,1,2,1
,7.25,3,S,1,0,0,0
38,8.6625,3,S,1,0,0,0
33,27.75,2,S,0,2,1,1
23,13.7917,2,C,0,0,0,1
22,9.8375,3,S,0,0,0,0
,52,1,S,1,0,0,0
34,21,2,S,1,0,1,0
29,7.0458,3,S,1,0,1,0
22,7.5208,3,S,1,0,0,0
2,12.2875,3,S,0,1,0,1
9,46.9,3,S,1,2,5,0
,0,2,S,1,0,0,0
50,8.05,3,S,1,0,0,0
63,9.5875,3,S,0,0,0,1
25,91.0792,1,C,1,0,1,1
,25.4667,3,S,0,1,3,0
35,90,1,S,0,0,1,1
58,29.7,1,C,1,0,0,0
30,8.05,3,S,1,0,0,0
9,15.9,3,S,1,1,1,1
,19.9667,3,S,1,0,1,0
21,7.25,3,S,1,0,0,0
55,30.5,1,S,1,0,0,0
71,49.5042,1,C,1,0,0,0
21,8.05,3,S,1,0,0,0
,14.4583,3,C,1,0,0,0
54,78.2667,1,C,0,0,1,1
,15.1,3,S,1,0,0,0
25,151.55,1,S,0,2,1,0
24,7.7958,3,S,1,0,0,0
17,8.6625,3,S,1,0,0,0
21,7.75,3,Q,0,0,0,0
,7.6292,3,Q,0,0,0,0
37,9.5875,3,S,0,0,0,0
16,86.5,1,S,0,0,0,1
18,108.9,1,C,1,0,1,0
33,26,2,S,0,2,0,1
,26.55,1,S,1,0,0,1
28,22.525,3,S,1,0,0,0
26,56.4958,3,S,1,0,0,1
29,7.75,3,Q,1,0,0,1
,8.05,3,S,1,0,0,0
36,26.2875,1,S,1,0,0,1
54,59.4,1,C,0,0,1,1
24,7.4958,3,S,1,0,0,0
47,34.0208,1,S,1,0,0,0
34,10.5,2,S,0,0,0,1
,24.15,3,Q,1,0,0,0
36,26,2,S,0,0,1,1
32,7.8958,3,S,1,0,0,0
30,93.5,1,S,0,0,0,1
22,7.8958,3,S,1,0,0,0
,7.225,3,C,1,0,0,0
44,57.9792,1,C,0,1,0,1
,7.2292,3,C,1,0,0,0
40.5,7.75,3,Q,1,0,0,0
50,10.5,2,S,0,0,0,1
,221.7792,1,S,1,0,0,0
39,7.925,3,S,1,0,0,0
23,11.5,2,S,1,1,2,0
2,26,2,S,0,1,1,1
,7.2292,3,C,1,0,0,0
17,7.2292,3,C,1,1,1,0
,22.3583,3,C,0,2,0,1
30,8.6625,3,S,0,0,0,0
7,26.25,2,S,0,2,0,1
45,26.55,1,S,1,0,0,0
30,106.425,1,C,0,0,0,1
,14.5,3,S,1,0,0,0
22,49.5,1,C,0,2,0,1
36,71,1,S,0,2,0,1
9,31.275,3,S,0,2,4,0
11,31.275,3,S,0,2,4,0
32,26,2,S,1,0,1,1
50,106.425,1,C,1,0,1,0
64,26,1,S,1,0,0,0
19,26,2,S,0,0,1,1
,13.8625,2,C,1,0,0,1
33,20.525,3,S,1,1,1,0
8,36.75,2,S,1,1,1,1
17,110.8833,1,C,1,2,0,1
27,26,2,S,1,0,0,0
,7.8292,3,Q,1,0,0,0
22,7.225,3,C,1,0,0,1
22,7.775,3,S,0,0,0,1
62,26.55,1,S,1,0,0,0
48,39.6,1,C,0,0,1,1
,227.525,1,C,1,0,0,0
39,79.65,1,S,0,1,1,1
36,17.4,3,S,0,0,1,1
,7.75,3,Q,1,0,0,0
40,7.8958,3,S,1,0,0,0
28,13.5,2,S,1,0,0,0
,8.05,3,S,1,0,0,0
,8.05,3,S,0,0,0,0
24,24.15,3,S,1,0,2,0
19,7.8958,3,S,1,0,0,0
29,21.075,3,S,0,4,0,0
,7.2292,3,C,1,0,0,0
32,7.8542,3,S,1,0,0,1
62,10.5,2,S,1,0,0,1
53,51.4792,1,S,0,0,2,1
36,26.3875,1,S,1,0,0,1
,7.75,3,Q,0,0,0,1
16,8.05,3,S,1,0,0,0
19,14.5,3,S,1,0,0,0
34,13,2,S,0,0,0,1
39,55.9,1,S,0,0,1,1
,14.4583,3,C,0,0,1,0
32,7.925,3,S,1,0,0,1
25,30,2,S,0,1,1,1
39,110.8833,1,C,0,1,1,1
54,26,2,S,1,0,0,0
36,40.125,1,C,1,0,0,0
,8.7125,3,C,1,0,0,0
18,79.65,1,S,0,2,0,1
47,15,2,S,1,0,0,0
60,79.2,1,C,1,1,1,1
22,8.05,3,S,1,0,0,0
,8.05,3,S,1,0,0,0
35,7.125,3,S,1,0,0,0
52,78.2667,1,C,0,0,1,1
47,7.25,3,S,1,0,0,0
,7.75,3,Q,0,2,0,0
37,26,2,S,1,0,1,0
36,24.15,3,S,1,1,1,0
,33,2,S,0,0,0,1
49,0,3,S,1,0,0,0
,7.225,3,C,1,0,0,0
49,56.9292,1,C,1,0,1,1
24,27,2,S,0,1,2,1
,7.8958,3,S,1,0,0,0
,42.4,1,S,1,0,0,0
44,8.05,3,S,1,0,0,0
35,26.55,1,C,1,0,0,1
36,15.55,3,S,1,0,1,0
30,7.8958,3,S,1,0,0,0
27,30.5,1,S,1,0,0,1
22,41.5792,2,C,0,2,1,1
40,153.4625,1,S,0,0,0,1
39,31.275,3,S,0,5,1,0
,7.05,3,S,1,0,0,0
,15.5,3,Q,0,0,1,1
,7.75,3,Q,1,0,0,0
35,8.05,3,S,1,0,0,0
24,65,2,S,0,2,1,1
34,14.4,3,S,1,1,1,0
26,16.1,3,S,0,0,1,0
4,39,2,S,0,1,2,1
26,10.5,2,S,1,0,0,0
27,14.4542,3,C,1,0,1,0
42,52.5542,1,S,1,0,1,1
20,15.7417,3,C,1,1,1,1
21,7.8542,3,S,1,0,0,0
21,16.1,3,S,1,0,0,0
61,32.3208,1,S,1,0,0,0
57,12.35,2,Q,1,0,0,0
21,77.9583,1,S,0,0,0,1
26,7.8958,3,S,1,0,0,0
,7.7333,3,Q,1,0,0,0
80,30,1,S,1,0,0,1
51,7.0542,3,S,1,0,0,0
32,30.5,1,C,1,0,0,1
,0,1,S,1,0,0,0
9,27.9,3,S,0,2,3,0
28,13,2,S,0,0,0,1
32,7.925,3,S,1,0,0,0
31,26.25,2,S,1,1,1,0
41,39.6875,3,S,0,5,0,0
,16.1,3,S,1,0,1,0
20,7.8542,3,S,1,0,0,0
24,69.3,1,C,0,0,0,1
2,27.9,3,S,0,2,3,0
,56.4958,3,S,1,0,0,1
0.75,19.2583,3,C,0,1,2,1
48,76.7292,1,C,1,0,1,1
19,7.8958,3,S,1,0,0,0
56,35.5,1,C,1,0,0,1
,7.55,3,S,1,0,0,0
23,7.55,3,S,0,0,0,1
,7.8958,3,S,1,0,0,0
18,23,2,S,0,1,0,1
21,8.4333,3,S,1,0,0,0
,7.8292,3,Q,0,0,0,1
18,6.75,3,Q,0,0,0,0
24,73.5,2,S,1,0,2,0
,7.8958,3,S,1,0,0,0
32,15.5,3,Q,0,1,1,0
23,13,2,S,1,0,0,0
58,113.275,1,C,1,2,0,0
50,133.65,1,S,1,0,2,1
40,7.225,3,C,1,0,0,0
47,25.5875,1,S,1,0,0,0
36,7.4958,3,S,1,0,0,0
20,7.925,3,S,1,0,1,1
32,73.5,2,S,1,0,2,0
25,13,2,S,1,0,0,0
,7.775,3,S,1,0,0,0
43,8.05,3,S,1,0,0,0
,52,1,S,0,0,1,1
40,39,2,S,0,1,1,1
31,52,1,S,1,0,1,0
70,10.5,2,S,1,0,0,0
31,13,2,S,1,0,0,1
,0,2,S,1,0,0,0
18,7.775,3,S,1,0,0,0
24.5,8.05,3,S,1,0,0,0
18,9.8417,3,S,0,0,0,1
43,46.9,3,S,0,6,1,0
36,512.3292,1,C,1,1,0,1
,8.1375,3,Q,0,0,0,0
27,76.7292,1,C,1,0,0,1
20,9.225,3,S,1,0,0,0
14,46.9,3,S,1,2,5,0
60,39,2,S,1,1,1,0
25,41.5792,2,C,1,2,1,0
14,39.6875,3,S,1,1,4,0
19,10.1708,3,S,1,0,0,0
18,7.7958,3,S,1,0,0,0
15,211.3375,1,S,0,1,0,1
31,57,1,S,1,0,1,1
4,13.4167,3,C,0,1,0,1
,56.4958,3,S,1,0,0,1
25,7.225,3,C,1,0,0,0
60,26.55,1,S,1,0,0,0
52,13.5,2,S,1,0,0,0
44,8.05,3,S,1,0,0,0
,7.7333,3,Q,0,0,0,1
49,110.8833,1,C,1,1,1,0
42,7.65,3,S,1,0,0,0
18,227.525,1,C,0,0,1,1
35,26.2875,1,S,1,0,0,1
18,14.4542,3,C,0,1,0,0
25,7.7417,3,Q,1,0,0,0
26,7.8542,3,S,1,0,1,0
39,26,2,S,1,0,0,0
45,13.5,2,S,0,0,0,1
42,26.2875,1,S,1,0,0,1
22,151.55,1,S,0,0,0,1
,15.2458,3,C,1,1,1,1
24,49.5042,1,C,0,0,0,1
,26.55,1,S,1,0,0,0
48,52,1,S,1,0,1,1
29,9.4833,3,S,1,0,0,0
52,13,2,S,1,0,0,0
19,7.65,3,S,1,0,0,0
38,227.525,1,C,0,0,0,1
27,10.5,2,S,0,0,0,1
,15.5,3,Q,1,0,0,0
33,7.775,3,S,1,0,0,0
6,33,2,S,0,1,0,1
17,7.0542,3,S,1,0,1,0
34,13,2,S,1,0,0,0
50,13,2,S,1,0,0,0
27,53.1,1,S,1,0,1,1
20,8.6625,3,S,1,0,0,0
30,21,2,S,0,0,3,1
,7.7375,3,Q,0,0,0,1
25,26,2,S,1,0,1,0
25,7.925,3,S,0,0,1,0
29,211.3375,1,S,0,0,0,1
11,18.7875,3,C,1,0,0,0
,0,2,S,1,0,0,0
23,13,2,S,1,0,0,0
23,13,2,S,1,0,0,0
28.5,16.1,3,S,1,0,0,0
48,34.375,3,S,0,3,1,0
35,512.3292,1,C,1,0,0,1
,7.8958,3,S,1,0,0,0
,7.8958,3,S,1,0,0,0
,30,1,S,1,0,0,1
36,78.85,1,S,1,0,1,0
21,262.375,1,C,0,2,2,1
24,16.1,3,S,1,0,1,0
31,7.925,3,S,1,0,0,1
70,71,1,S,1,1,1,0
16,20.25,3,S,1,1,1,0
30,13,2,S,0,0,0,1
19,53.1,1,S,1,0,1,0
31,7.75,3,Q,1,0,0,0
4,23,2,S,0,1,1,1
6,12.475,3,S,1,1,0,1
33,9.5,3,S,1,0,0,0
23,7.8958,3,S,1,0,0,0
48,65,2,S,0,2,1,1
0.67,14.5,2,S,1,1,1,1
28,7.7958,3,S,1,0,0,0
18,11.5,2,S,1,0,0,0
34,8.05,3,S,1,0,0,0
33,86.5,1,S,0,0,0,1
,14.5,3,S,1,0,0,0
41,7.125,3,S,1,0,0,0
20,7.2292,3,C,1,0,0,1
36,120,1,S,0,2,1,1
16,7.775,3,S,1,0,0,0
51,77.9583,1,S,0,0,1,1
,39.6,1,C,1,0,0,0
30.5,7.75,3,Q,0,0,0,0
,24.15,3,Q,1,0,1,0
32,8.3625,3,S,1,0,0,0
24,9.5,3,S,1,0,0,0
48,7.8542,3,S,1,0,0,0
57,10.5,2,S,0,0,0,0
,7.225,3,C,1,0,0,0
54,23,2,S,0,3,1,1
18,7.75,3,S,1,0,0,0
,7.75,3,Q,1,0,0,0
5,12.475,3,S,0,0,0,1
